order_id,customer_id,product_id,order_date,order_time,quantity,unit_price,discount,total_price,supplier_id,payment_method,shipping_address,shipping_city,shipping_state,shipping_country,shipping_postal_code,billing_address,billing_city,billing_state,billing_country,billing_postal_code,tracking_number,status
1,1,1,6/21/2021,22.6,47,778.24,0.46,2941.49,1,debit card,939 Warner Terrace,Ribeira Seca,42,Portugal,9600-213,75604 Rigney Hill,Isugod,,Philippines,4336,7050962131,shipped
2,2,2,6/22/2021,4.71,53,886.45,0.21,3213.97,2,credit card,2 Ridge Oak Avenue,Nyala,,Sudan,,17338 Esker Plaza,Brongkah,,Indonesia,,5875852643,processing
3,3,3,6/22/2022,10.57,98,925.97,0.29,9675.58,3,debit card,99007 Northport Hill,Alilem,,Philippines,2716,8 David Point,Mora,,Cameroon,,5913990559,shipped
4,4,4,12/31/2021,8.89,73,735.68,0.98,5837.88,4,debit card,48 Delladonna Junction,Sakon Nakhon,,Thailand,21110,0272 Orin Circle,Qidu,,China,,9995256736,processing
5,5,5,5/6/2020,8.59,37,55.49,0.75,3078.32,5,credit card,22278 Loftsgordon Lane,El Pardo,,Philippines,6337,59351 Bellgrove Center,Mysiadło,,Poland,05-509,9494009301,delivered
6,6,6,10/9/2022,4.64,32,888.09,0.68,7697.82,6,debit card,030 Stoughton Crossing,Jenesano,,Colombia,153608,19 Westend Park,Pueblo Nuevo,,Peru,,9834984591,shipped
7,7,7,8/19/2021,1.66,20,984.54,0.9,6501.72,7,debit card,923 Vernon Terrace,Zhanghekou,,China,,3 Londonderry Avenue,Resapombo,,Indonesia,,7260225419,delivered
8,8,8,2/6/2020,13.97,76,327.61,0.79,2444.56,8,debit card,02220 Northridge Avenue,Aldeia de Juzo,11,Portugal,2750-015,3000 Wayridge Court,Dakhla,,Western Sahara,,9665254910,shipped
9,9,9,5/20/2022,5.16,7,443.44,0.43,4128.2,9,debit card,7 Gulseth Pass,Seremban,NSN,Malaysia,70604,9 Debra Crossing,Frankfort,KY,United States,40618,2817521182,shipped
10,10,10,5/15/2020,13.54,70,89.97,0.59,268.32,10,cash,9 Cottonwood Point,União da Vitória,,Brazil,84600-000,0244 Vera Avenue,Sargodha,,Pakistan,67391,7591679109,delivered
11,11,11,4/4/2020,4.99,5,687.92,0.29,2876.48,11,debit card,82422 Prairieview Park,Bayside,,Ireland,D13,0 Steensland Circle,Tarusa,,Russia,249111,4719696151,shipped
12,12,12,4/21/2022,23.11,79,484.24,0.13,5061.65,12,debit card,9123 Acker Hill,Kamenné Žehrovice,,Czech Republic,273 01,99 Dixon Hill,Dakhla,,Western Sahara,,4367252367,delivered
13,13,13,1/20/2020,20.84,44,726.21,0.89,9915.21,13,debit card,66 Old Shore Road,Bang Rakam,,Thailand,65140,920 Stone Corner Terrace,Bombarral,10,Portugal,2540-006,1762758830,pending
14,14,14,6/19/2021,7.47,5,269.36,0.97,5369.88,14,debit card,4290 Iowa Place,Cañete,,Chile,,3 Lien Crossing,Saurama,,Peru,,3672631079,pending
15,15,15,11/19/2021,20.89,40,859.3,0.44,222.25,15,credit card,229 Everett Lane,Tallahassee,FL,United States,32304,580 Meadow Vale Place,Semey,,Kazakhstan,,9995333538,delivered
16,16,16,4/3/2021,20.6,51,271.3,0.52,2457.11,16,credit card,5938 Sundown Place,Marston,ENG,United Kingdom,ST20,3729 Weeping Birch Lane,Sinjār,,Syria,,2726127661,processing
17,17,17,7/7/2022,11.43,87,745.4,0.67,1864.73,17,cash,402 Elgar Plaza,Sotomayor,,Bolivia,,03 Eagle Crest Parkway,Muravlenko,,Russia,102293,5652557729,processing
18,18,18,12/28/2021,5.09,66,832.12,0.82,2989.6,18,credit card,890 Anhalt Road,Canutama,,Brazil,69820-000,10551 Straubel Place,Uyugan,,Philippines,3903,9770094933,shipped
19,19,19,3/13/2022,4.98,97,75.3,0.74,3115.78,19,cash,38266 Coolidge Parkway,Grenoble,B9,France,38035 CEDEX 2,86 Maple Trail,Cowansville,QC,Canada,J2K,8172008979,delivered
20,20,20,8/10/2021,19.79,37,199.76,0.99,5752.68,20,credit card,889 Arrowood Point,Hashtpar,,Iran,,265 Bashford Lane,Kose,,Estonia,,3685384973,shipped
21,21,21,3/12/2022,13.4,16,490.86,0.07,3886.68,21,credit card,30543 Thompson Alley,Yixin,,China,,7054 Esker Circle,Luso,01,Portugal,3050-225,8552904579,pending
22,22,22,2/24/2021,7.91,28,451.32,0.33,8944.07,22,debit card,3129 Cardinal Hill,Nangabulik,,Indonesia,,98097 Weeping Birch Drive,San Manuel,,Philippines,2438,2055939880,shipped
23,23,23,3/25/2021,2.4,82,301.23,0.18,6278.35,23,credit card,40342 Talisman Park,Tucaní,,Venezuela,,28 Katie Center,Magisterial,VER,Mexico,92934,3551517125,delivered
24,24,24,1/18/2022,4.88,41,8.51,0.39,9218.98,24,credit card,17 Everett Place,Danglang Hudong,,China,,0 Bunting Crossing,Chandler,AZ,United States,85246,5516830692,processing
25,25,25,7/17/2022,2.09,8,686.0,0.69,3980.55,25,cash,67 Atwood Street,Dasi,,China,,5774 Memorial Parkway,Calvário,01,Portugal,3740-228,6158108428,processing
26,26,26,5/24/2021,6.71,43,14.29,0.79,8884.04,26,cash,28 Forest Run Circle,Itatinga,,Brazil,18690-000,29 Cody Point,Wąbrzeźno,,Poland,87-201,5530823835,pending
